logical_group_id,model,channels,test_domain,metric,estimate,ci_low,ci_high,seed_policy
ablation_channels__all__cnn1d,cnn1d,all,inner,balanced_accuracy,0.955174081000275,0.951654208653737,0.958703431085051,seed_42_per_fold
ablation_channels__all__cnn1d,cnn1d,all,outer,balanced_accuracy,0.950684836327835,0.94707381093011,0.954296928558602,seed_42_per_fold
ablation_channels__all__cnn1d,cnn1d,all,inner,macro_f1,0.877784551285155,0.873167952056347,0.882126217151034,seed_42_per_fold
ablation_channels__all__cnn1d,cnn1d,all,outer,macro_f1,0.852807938927842,0.847933776303588,0.857363783579888,seed_42_per_fold
ablation_channels__all__transformer,transformer,all,inner,balanced_accuracy,0.938512987144806,0.934669867949374,0.942121096712646,seed_42_per_fold
ablation_channels__all__transformer,transformer,all,outer,balanced_accuracy,0.880244992997649,0.875005734860925,0.885109948325095,seed_42_per_fold
ablation_channels__all__transformer,transformer,all,inner,macro_f1,0.790759033940181,0.785256789814659,0.795845405370251,seed_42_per_fold
ablation_channels__all__transformer,transformer,all,outer,macro_f1,0.747603557091675,0.742037607900639,0.753017081500307,seed_42_per_fold
ablation_channels__direction__cnn1d,cnn1d,direction,inner,balanced_accuracy,0.77968320838392,0.773572729030075,0.785479654974963,seed_42_per_fold
ablation_channels__direction__cnn1d,cnn1d,direction,outer,balanced_accuracy,0.779776092657514,0.773596033299451,0.785598903925371,seed_42_per_fold
ablation_channels__direction__cnn1d,cnn1d,direction,inner,macro_f1,0.529646512504168,0.525018323348472,0.533746607178518,seed_42_per_fold
ablation_channels__direction__cnn1d,cnn1d,direction,outer,macro_f1,0.529878727556686,0.525214593514768,0.534000539546559,seed_42_per_fold
ablation_channels__direction__transformer,transformer,direction,inner,balanced_accuracy,0.726172842414681,0.719631252363833,0.732176744334511,seed_42_per_fold
ablation_channels__direction__transformer,transformer,direction,outer,balanced_accuracy,0.726315087988793,0.719580661463734,0.732479318811146,seed_42_per_fold
ablation_channels__direction__transformer,transformer,direction,inner,macro_f1,0.42512835131467,0.421195781727767,0.428893344453191,seed_42_per_fold
ablation_channels__direction__transformer,transformer,direction,outer,macro_f1,0.425737768249543,0.421800821646249,0.429576781628576,seed_42_per_fold
