logical_group_id,representation,model,train_session,test_session,metric,replicates,inner_estimate,inner_ci_low,inner_ci_high,outer_estimate,outer_ci_low,outer_ci_high,gap_estimate,gap_ci_low,gap_ci_high
cross_session__flattened_splt__random_forest,flattened_splt,random_forest,1,2,balanced_accuracy,1000,0.883228663914516,0.874355446695484,0.891372286594592,0.496293643398085,0.487054322362735,0.50522337618035,-0.386935020516431,-0.396863106364624,-0.376822731930385
cross_session__flattened_splt__random_forest,flattened_splt,random_forest,1,2,macro_f1,1000,0.873905989516584,0.866935293811289,0.880324870440463,0.507741208602158,0.496335636875662,0.517532430399451,-0.366164780914426,-0.376597660590248,-0.355909592591023
cross_session__flattened_splt__random_forest,flattened_splt,random_forest,2,1,balanced_accuracy,1000,0.855224165200698,0.846136057556104,0.863647437606419,0.474742842542859,0.46822297409023,0.480775647960189,-0.380481322657839,-0.390150725501026,-0.371803084047449
cross_session__flattened_splt__random_forest,flattened_splt,random_forest,2,1,macro_f1,1000,0.860838903925369,0.853513449796102,0.867670256222805,0.498265723846696,0.490212486003918,0.505475830603178,-0.362573180078674,-0.37185180639272,-0.353870663869621
cross_session__flattened_splt__xgboost,flattened_splt,xgboost,1,2,balanced_accuracy,1000,0.900567891212171,0.893064543260297,0.907489579040307,0.62249923411427,0.61324330015409,0.631280657527795,-0.278068657097901,-0.286855744019362,-0.26911174849218
cross_session__flattened_splt__xgboost,flattened_splt,xgboost,1,2,macro_f1,1000,0.889482947475748,0.882699184899878,0.8954962942622,0.611691504463607,0.602408151666286,0.62016712728389,-0.27779144301214,-0.286527207622658,-0.269030267762591
cross_session__flattened_splt__xgboost,flattened_splt,xgboost,2,1,balanced_accuracy,1000,0.873712266017579,0.864846002380167,0.881364025940998,0.537161576252694,0.529895281689276,0.545209967657773,-0.336550689764884,-0.345279606730539,-0.327882470886341
cross_session__flattened_splt__xgboost,flattened_splt,xgboost,2,1,macro_f1,1000,0.89248443971992,0.885813739141538,0.898417820587079,0.564349187737465,0.554977303280218,0.57403274609865,-0.328135251982455,-0.337780017083888,-0.31860287218338
cross_session__matched_flow_stats__random_forest,matched_flow_stats,random_forest,1,2,balanced_accuracy,1000,0.841757923483093,0.831935726055291,0.850657576174334,0.698530334080603,0.68700122601407,0.710030576293716,-0.14322758940249,-0.151518207324117,-0.135309448972144
cross_session__matched_flow_stats__random_forest,matched_flow_stats,random_forest,1,2,macro_f1,1000,0.82581712822082,0.817480111087965,0.833093749658322,0.699781057119243,0.688475341058187,0.710248717372246,-0.126036071101577,-0.134502867711576,-0.117841546459376
