row_type,configuration,comparison_id,metric,estimate,ci_low,ci_high
estimate,plain_inner_trained,,balanced_accuracy,0.957684118527932,0.954079052337098,0.961524383505229
estimate,plain_inner_trained,,macro_f1,0.893084112301539,0.888582746988561,0.896995064184659
estimate,dann,,balanced_accuracy,0.961720745280129,0.958139852650407,0.965164811325145
estimate,dann,,macro_f1,0.901785319641032,0.897953724074474,0.905471863313872
estimate,supervised_outer_trained,,balanced_accuracy,0.963795509135063,0.960321964659658,0.966949139211367
estimate,supervised_outer_trained,,macro_f1,0.908224958497294,0.904520532622864,0.911844736415716
difference,,dann_minus_plain_cnn1d,balanced_accuracy,0.00403662675219707,0.00187396045713869,0.00629319153562234
difference,,dann_minus_plain_cnn1d,macro_f1,0.00870120733949287,0.00598718139924405,0.0118818475879428
difference,,dann_minus_supervised_outer_cnn1d,balanced_accuracy,-0.00207476385493388,-0.00397184660527933,-0.000298349194303944
difference,,dann_minus_supervised_outer_cnn1d,macro_f1,-0.00643963885626131,-0.00852488213782254,-0.00416633926708689
