diagnostic,logical_group_id,class_name,support,source_f1,comparison_f1,value
support_vs_absolute_transfer_change_spearman,primary__flattened_splt__random_forest__train_inner,,226281,,,-0.5428571428571429
support_vs_absolute_transfer_change_spearman,primary__flattened_splt__xgboost__train_inner,,226281,,,-0.5296703296703297
support_vs_absolute_transfer_change_spearman,primary__matched_flow_stats__random_forest__train_inner,,226281,,,-0.4593406593406593
support_vs_absolute_transfer_change_spearman,primary__matched_flow_stats__xgboost__train_inner,,226281,,,-0.6571428571428571
support_vs_absolute_transfer_change_spearman,primary__prefix_stats__random_forest__train_inner,,226281,,,-0.45494505494505494
support_vs_absolute_transfer_change_spearman,primary__prefix_stats__xgboost__train_inner,,226281,,,-0.6395604395604396
support_vs_absolute_transfer_change_spearman,primary__sequential_splt__cnn1d__train_inner,,226281,,,-0.4901098901098901
support_vs_absolute_transfer_change_spearman,primary__sequential_splt__lstm__train_inner,,226281,,,-0.7494505494505495
support_vs_absolute_transfer_change_spearman,primary__sequential_splt__transformer__train_inner,,226281,,,-0.6835164835164835
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,Chat,3985,0.88402931255089,0.884508990318119,0.00047967776722901423
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,Cloud,5778,0.930616920307642,0.941829632084852,0.01121271177721006
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,Collaborative,6632,0.770701045474954,0.748068565910188,-0.022632479564765995
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,ConnCheck,281,0.86031746031746,0.919931856899489,0.05961439658202894
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,Database,327,0.87378640776699,0.940298507462687,0.06651209969569694
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,Download,651,0.753143613500993,0.756578947368421,0.003435333867428003
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,Email,391,0.879249706916764,0.877880184331797,-0.0013695225849669201
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,Network,84447,0.995548582262081,0.995153569410995,-0.00039501285108600737
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,SocialNetwork,3883,0.976845337085839,0.981804202972834,0.004958865886995012
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,SoftwareUpdate,737,0.873096446700508,0.876590330788804,0.0034938840882959843
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,System,1230,0.950487329434698,0.927811550151976,-0.02267577928272202
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,Unspecified,5680,0.97676050162238,0.9782035507119,0.0014430490895199766
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,VoIP,1569,0.8060413354531,0.825224245718945,0.019182910265845066
dann_minus_source_outer_f1,dann__sequential_splt__dann_cnn1d,Web,110690,0.972553572827254,0.971110340843443,-0.0014432319838109109
