logical_group_id,partition,test_domain,class_index,class_name,support,precision,recall,f1
ablation_channels__all__cnn1d,combined,inner,0,Chat,3985,0.799957528137609,0.945294855708908,0.866574649183345
ablation_channels__all__cnn1d,combined,inner,1,Cloud,5778,0.895607893061744,0.974039460020768,0.933178577350356
ablation_channels__all__cnn1d,combined,inner,2,Collaborative,6632,0.615462868769074,0.912243667068758,0.735026120762969
ablation_channels__all__cnn1d,combined,inner,3,ConnCheck,281,0.785923753665689,0.953736654804271,0.861736334405145
ablation_channels__all__cnn1d,combined,inner,4,Database,327,0.882022471910112,0.960244648318043,0.919472913616398
ablation_channels__all__cnn1d,combined,inner,5,Download,651,0.466346153846154,0.894009216589862,0.612954186413902
ablation_channels__all__cnn1d,combined,inner,6,Email,391,0.809935205183585,0.959079283887468,0.878220140515222
ablation_channels__all__cnn1d,combined,inner,7,Network,84447,0.999259860567281,0.991225265551174,0.995226347234194
ablation_channels__all__cnn1d,combined,inner,8,SocialNetwork,3883,0.973623559539053,0.979139840329642,0.976373908577298
ablation_channels__all__cnn1d,combined,inner,9,SoftwareUpdate,737,0.720418848167539,0.933514246947083,0.813238770685579
ablation_channels__all__cnn1d,combined,inner,10,System,1230,0.900369003690037,0.991869918699187,0.943907156673114
ablation_channels__all__cnn1d,combined,inner,11,Unspecified,5680,0.968788142981691,0.978169014084507,0.973455978975033
ablation_channels__all__cnn1d,combined,inner,12,VoIP,1569,0.706020696142992,0.95666029318037,0.812449255751015
ablation_channels__all__cnn1d,combined,inner,13,Web,110690,0.992376860635325,0.943210768813804,0.967169377848594
ablation_channels__all__cnn1d,combined,outer,0,Chat,3985,0.801023672424824,0.942534504391468,0.866036430712474
ablation_channels__all__cnn1d,combined,outer,1,Cloud,5778,0.879452480945715,0.978539286950502,0.926353731465553
ablation_channels__all__cnn1d,combined,outer,2,Collaborative,6632,0.651309846431798,0.869722557297949,0.744834710743802
ablation_channels__all__cnn1d,combined,outer,3,ConnCheck,281,0.665012406947891,0.953736654804271,0.783625730994152
ablation_channels__all__cnn1d,combined,outer,4,Database,327,0.786967418546366,0.960244648318043,0.865013774104683
ablation_channels__all__cnn1d,combined,outer,5,Download,651,0.476269775187344,0.878648233486943,0.617710583153348
ablation_channels__all__cnn1d,combined,outer,6,Email,391,0.712380952380952,0.956521739130435,0.816593886462882
ablation_channels__all__cnn1d,combined,outer,7,Network,84447,0.999149027974207,0.98716354636636,0.993120126756452
ablation_channels__all__cnn1d,combined,outer,8,SocialNetwork,3883,0.970663265306122,0.979912438835952,0.975265923362809
ablation_channels__all__cnn1d,combined,outer,9,SoftwareUpdate,737,0.714435146443515,0.926729986431479,0.80685174246899
ablation_channels__all__cnn1d,combined,outer,10,System,1230,0.785576303927881,0.991869918699187,0.876751706791232
ablation_channels__all__cnn1d,combined,outer,11,Unspecified,5680,0.96710182767624,0.978169014084507,0.972603938730853
ablation_channels__all__cnn1d,combined,outer,12,VoIP,1569,0.584173778122576,0.959847036328872,0.726308174584037
ablation_channels__all__cnn1d,combined,outer,13,Web,110690,0.991609292282632,0.945948143463728,0.968240684658526
ablation_channels__all__transformer,combined,inner,0,Chat,3985,0.610861983059293,0.922961104140527,0.735158904657206
ablation_channels__all__transformer,combined,inner,1,Cloud,5778,0.843187250996016,0.915714780200761,0.877955695677425
ablation_channels__all__transformer,combined,inner,2,Collaborative,6632,0.411531359004172,0.90726779252111,0.566225944572531
ablation_channels__all__transformer,combined,inner,3,ConnCheck,281,0.54989816700611,0.96085409252669,0.699481865284974
ablation_channels__all__transformer,combined,inner,4,Database,327,0.574817518248175,0.963302752293578,0.72
ablation_channels__all__transformer,combined,inner,5,Download,651,0.472894078398666,0.870967741935484,0.612972972972973
ablation_channels__all__transformer,combined,inner,6,Email,391,0.776617954070981,0.951406649616368,0.855172413793103
ablation_channels__all__transformer,combined,inner,7,Network,84447,0.999012333783002,0.982178170923775,0.990523732467114
ablation_channels__all__transformer,combined,inner,8,SocialNetwork,3883,0.874883286647993,0.96523306721607,0.917840088159667
ablation_channels__all__transformer,combined,inner,9,SoftwareUpdate,737,0.510590015128593,0.915875169606513,0.655658086449733
ablation_channels__all__transformer,combined,inner,10,System,1230,0.862800565770863,0.991869918699187,0.922844175491679
ablation_channels__all__transformer,combined,inner,11,Unspecified,5680,0.942287873582961,0.965845070422535,0.953921057207442
ablation_channels__all__transformer,combined,inner,12,VoIP,1569,0.475326329194524,0.951561504142766,0.633970276008493
ablation_channels__all__transformer,combined,inner,13,Web,110690,0.990977058582548,0.874144005781913,0.928901262420199
ablation_channels__all__transformer,combined,outer,0,Chat,3985,0.653259361997226,0.827352572145546,0.730070859167405
ablation_channels__all__transformer,combined,outer,1,Cloud,5778,0.814909614461686,0.881619937694704,0.846953196441932
ablation_channels__all__transformer,combined,outer,2,Collaborative,6632,0.514792319749216,0.792370325693607,0.624109263657957
ablation_channels__all__transformer,combined,outer,3,ConnCheck,281,0.340673575129534,0.935943060498221,0.499525166191833
ablation_channels__all__transformer,combined,outer,4,Database,327,0.714285714285714,0.963302752293578,0.8203125
ablation_channels__all__transformer,combined,outer,5,Download,651,0.575380359612725,0.639016897081413,0.605531295487627
ablation_channels__all__transformer,combined,outer,6,Email,391,0.46520618556701,0.923273657289003,0.618680377035133
ablation_channels__all__transformer,combined,outer,7,Network,84447,0.998287983098386,0.973604746172155,0.98579187799
ablation_channels__all__transformer,combined,outer,8,SocialNetwork,3883,0.733634755258502,0.961112541849086,0.832107023411371
ablation_channels__all__transformer,combined,outer,9,SoftwareUpdate,737,0.698275862068966,0.659430122116689,0.678297278436846
ablation_channels__all__transformer,combined,outer,10,System,1230,0.801576872536137,0.991869918699187,0.886627906976744
ablation_channels__all__transformer,combined,outer,11,Unspecified,5680,0.911529083942877,0.921478873239437,0.9164769742602
ablation_channels__all__transformer,combined,outer,12,VoIP,1569,0.32172972972973,0.948374760994264,0.480464966096222
ablation_channels__all__transformer,combined,outer,13,Web,110690,0.981446997020543,0.904679736200199,0.941501114130179
ablation_channels__direction__cnn1d,combined,inner,0,Chat,3985,0.423438724849752,0.813299874529486,0.556920697654438
ablation_channels__direction__cnn1d,combined,inner,1,Cloud,5778,0.464328180737218,0.811007268951194,0.59054820415879
ablation_channels__direction__cnn1d,combined,inner,2,Collaborative,6632,0.276737046550968,0.666013268998794,0.391006063825079
ablation_channels__direction__cnn1d,combined,inner,3,ConnCheck,281,0.106924643584521,0.747330960854093,0.187082405345212
ablation_channels__direction__cnn1d,combined,inner,4,Database,327,0.893371757925072,0.948012232415902,0.919881305637982
ablation_channels__direction__cnn1d,combined,inner,5,Download,651,0.165439887837364,0.725038402457757,0.269406392694064
ablation_channels__direction__cnn1d,combined,inner,6,Email,391,0.629834254143646,0.874680306905371,0.732334047109208
ablation_channels__direction__cnn1d,combined,inner,7,Network,84447,0.987855854270251,0.531718119056923,0.691326471697677
ablation_channels__direction__cnn1d,combined,inner,8,SocialNetwork,3883,0.622587199458178,0.946948235900077,0.751251404637859
ablation_channels__direction__cnn1d,combined,inner,9,SoftwareUpdate,737,0.222667638483965,0.829036635006784,0.351048549267452
ablation_channels__direction__cnn1d,combined,inner,10,System,1230,0.0302802614771959,0.982926829268293,0.058750637801589
ablation_channels__direction__cnn1d,combined,inner,11,Unspecified,5680,0.827224229908794,0.846302816901408,0.836654773300844
ablation_channels__direction__cnn1d,combined,inner,12,VoIP,1569,0.162696629213483,0.461440407903123,0.240571523508889
ablation_channels__direction__cnn1d,combined,inner,13,Web,110690,0.980974871329095,0.731809558225675,0.838268698419269
ablation_channels__direction__cnn1d,combined,outer,0,Chat,3985,0.424452889529551,0.812797992471769,0.557679063360882
ablation_channels__direction__cnn1d,combined,outer,1,Cloud,5778,0.46496372130007,0.809622706818969,0.590693856935413
ablation_channels__direction__cnn1d,combined,outer,2,Collaborative,6632,0.276058275495529,0.665711700844391,0.390276243093923
ablation_channels__direction__cnn1d,combined,outer,3,ConnCheck,281,0.106707317073171,0.747330960854093,0.186749666518453
ablation_channels__direction__cnn1d,combined,outer,4,Database,327,0.893371757925072,0.948012232415902,0.919881305637982
ablation_channels__direction__cnn1d,combined,outer,5,Download,651,0.164570230607966,0.723502304147465,0.268146883005978
ablation_channels__direction__cnn1d,combined,outer,6,Email,391,0.628205128205128,0.877237851662404,0.732123799359658
ablation_channels__direction__cnn1d,combined,outer,7,Network,84447,0.987856922873862,0.531765486044501,0.691366768022786
ablation_channels__direction__cnn1d,combined,outer,8,SocialNetwork,3883,0.62672575421851,0.946948235900077,0.75425641025641
ablation_channels__direction__cnn1d,combined,outer,9,SoftwareUpdate,737,0.224340175953079,0.830393487109905,0.353246753246753
ablation_channels__direction__cnn1d,combined,outer,10,System,1230,0.0302802614771959,0.982926829268293,0.058750637801589
ablation_channels__direction__cnn1d,combined,outer,11,Unspecified,5680,0.825713303540736,0.845774647887324,0.835623586710732
ablation_channels__direction__cnn1d,combined,outer,12,VoIP,1569,0.162999550965424,0.462715105162524,0.241075875809397
ablation_channels__direction__cnn1d,combined,outer,13,Web,110690,0.980852325679912,0.732125756617581,0.838431336033645
ablation_channels__direction__transformer,combined,inner,0,Chat,3985,0.36072094468614,0.72823086574655,0.482460515378221
ablation_channels__direction__transformer,combined,inner,1,Cloud,5778,0.346574970590897,0.662859120803046,0.455166676570206
ablation_channels__direction__transformer,combined,inner,2,Collaborative,6632,0.175724820688958,0.524577804583836,0.26326144532728
ablation_channels__direction__transformer,combined,inner,3,ConnCheck,281,0.0366765166000348,0.750889679715303,0.0699370235333112
ablation_channels__direction__transformer,combined,inner,4,Database,327,0.704545454545455,0.948012232415902,0.808344198174707
ablation_channels__direction__transformer,combined,inner,5,Download,651,0.0543426672994779,0.703533026113671,0.100892168741051
ablation_channels__direction__transformer,combined,inner,6,Email,391,0.415384615384615,0.828644501278772,0.553373185311699
ablation_channels__direction__transformer,combined,inner,7,Network,84447,0.983970461429614,0.527005103792912,0.686387612202721
ablation_channels__direction__transformer,combined,inner,8,SocialNetwork,3883,0.514640638864241,0.896214267319083,0.653828088304368
ablation_channels__direction__transformer,combined,inner,9,SoftwareUpdate,737,0.0715147129763628,0.804613297150611,0.131354524310555
ablation_channels__direction__transformer,combined,inner,10,System,1230,0.0302931677640638,0.983739837398374,0.0587763825808175
ablation_channels__direction__transformer,combined,inner,11,Unspecified,5680,0.757070004636069,0.8625,0.806353386552547
ablation_channels__direction__transformer,combined,inner,12,VoIP,1569,0.128714819917339,0.416826003824092,0.196691729323308
ablation_channels__direction__transformer,combined,inner,13,Web,110690,0.972129949508371,0.528774053663384,0.684969982094583
ablation_channels__direction__transformer,combined,outer,0,Chat,3985,0.360745341614907,0.728732747804266,0.482592438720399
ablation_channels__direction__transformer,combined,outer,1,Cloud,5778,0.347388465723613,0.663032191069574,0.455908604069975
ablation_channels__direction__transformer,combined,outer,2,Collaborative,6632,0.175721433264264,0.524276236429433,0.263219652522806
ablation_channels__direction__transformer,combined,outer,3,ConnCheck,281,0.0367020351365455,0.750889679715303,0.069983416252073
ablation_channels__direction__transformer,combined,outer,4,Database,327,0.704545454545455,0.948012232415902,0.808344198174707
ablation_channels__direction__transformer,combined,outer,5,Download,651,0.0545670225385528,0.706605222734255,0.10131042836692
ablation_channels__direction__transformer,combined,outer,6,Email,391,0.419480519480519,0.826086956521739,0.556416881998277
ablation_channels__direction__transformer,combined,outer,7,Network,84447,0.983953318745441,0.52715904650254,0.686513994910941
ablation_channels__direction__transformer,combined,outer,8,SocialNetwork,3883,0.516877323420074,0.895184135977337,0.655354449472097
ablation_channels__direction__transformer,combined,outer,9,SoftwareUpdate,737,0.0721498965810926,0.804613297150611,0.132425189816883
ablation_channels__direction__transformer,combined,outer,10,System,1230,0.0302931677640638,0.983739837398374,0.0587763825808175
