logical_group_id,model,prefix_length,test_domain,metric,estimate,ci_low,ci_high,seed_policy
ablation_prefix__n010__cnn1d,cnn1d,10,inner,balanced_accuracy,0.938502574640701,0.934137145054998,0.942396438162957,seed_42_per_fold
ablation_prefix__n010__cnn1d,cnn1d,10,outer,balanced_accuracy,0.918821858655858,0.91386620732754,0.923396854191415,seed_42_per_fold
ablation_prefix__n010__cnn1d,cnn1d,10,inner,macro_f1,0.815361232739557,0.810155882404074,0.820276335293281,seed_42_per_fold
ablation_prefix__n010__cnn1d,cnn1d,10,outer,macro_f1,0.804288756350377,0.799380789399777,0.809127207311525,seed_42_per_fold
ablation_prefix__n010__transformer,transformer,10,inner,balanced_accuracy,0.931736918992968,0.927440003675901,0.935699004418722,seed_42_per_fold
ablation_prefix__n010__transformer,transformer,10,outer,balanced_accuracy,0.865094066374686,0.860029002387419,0.870374706047626,seed_42_per_fold
ablation_prefix__n010__transformer,transformer,10,inner,macro_f1,0.768797585285766,0.762850802284117,0.773800843669892,seed_42_per_fold
ablation_prefix__n010__transformer,transformer,10,outer,macro_f1,0.711901748650107,0.706261595660168,0.717162650495278,seed_42_per_fold
ablation_prefix__n020__cnn1d,cnn1d,20,inner,balanced_accuracy,0.959668850854107,0.956471881972725,0.963327467606864,seed_42_per_fold
ablation_prefix__n020__cnn1d,cnn1d,20,outer,balanced_accuracy,0.958612603216923,0.955381250500392,0.962156625946172,seed_42_per_fold
ablation_prefix__n020__cnn1d,cnn1d,20,inner,macro_f1,0.891656706321003,0.887145209374888,0.895919493831351,seed_42_per_fold
ablation_prefix__n020__cnn1d,cnn1d,20,outer,macro_f1,0.887427348885684,0.883278026945869,0.891765102838238,seed_42_per_fold
ablation_prefix__n020__transformer,transformer,20,inner,balanced_accuracy,0.945892691383266,0.942242978401018,0.949347910396464,seed_42_per_fold
ablation_prefix__n020__transformer,transformer,20,outer,balanced_accuracy,0.895306915757542,0.890339405691916,0.899732397183979,seed_42_per_fold
ablation_prefix__n020__transformer,transformer,20,inner,macro_f1,0.80762398243853,0.802359506683084,0.812495571784584,seed_42_per_fold
ablation_prefix__n020__transformer,transformer,20,outer,macro_f1,0.773191019349835,0.76755501072499,0.778358119793918,seed_42_per_fold
ablation_prefix__n050__cnn1d,cnn1d,50,inner,balanced_accuracy,0.955174081000275,0.951654208653737,0.958703431085051,seed_42_per_fold
ablation_prefix__n050__cnn1d,cnn1d,50,outer,balanced_accuracy,0.950684836327835,0.94707381093011,0.954296928558602,seed_42_per_fold
ablation_prefix__n050__cnn1d,cnn1d,50,inner,macro_f1,0.877784551285155,0.873167952056347,0.882126217151034,seed_42_per_fold
ablation_prefix__n050__cnn1d,cnn1d,50,outer,macro_f1,0.852807938927842,0.847933776303588,0.857363783579888,seed_42_per_fold
ablation_prefix__n050__transformer,transformer,50,inner,balanced_accuracy,0.938512987144806,0.934669867949374,0.942121096712646,seed_42_per_fold
ablation_prefix__n050__transformer,transformer,50,outer,balanced_accuracy,0.880244992997649,0.875005734860925,0.885109948325095,seed_42_per_fold
ablation_prefix__n050__transformer,transformer,50,inner,macro_f1,0.790759033940181,0.785256789814659,0.795845405370251,seed_42_per_fold
ablation_prefix__n050__transformer,transformer,50,outer,macro_f1,0.747603557091675,0.742037607900639,0.753017081500307,seed_42_per_fold
ablation_prefix__n080__cnn1d,cnn1d,80,inner,balanced_accuracy,0.960030874069687,0.95654063457024,0.963490834643952,seed_42_per_fold
ablation_prefix__n080__cnn1d,cnn1d,80,outer,balanced_accuracy,0.956012247844768,0.952333623989707,0.959445551067703,seed_42_per_fold
ablation_prefix__n080__cnn1d,cnn1d,80,inner,macro_f1,0.901968676128091,0.89768229035426,0.905811888359649,seed_42_per_fold
ablation_prefix__n080__cnn1d,cnn1d,80,outer,macro_f1,0.8882783385917,0.884054289801692,0.892689383127792,seed_42_per_fold
ablation_prefix__n080__transformer,transformer,80,inner,balanced_accuracy,0.952875337858161,0.949142749414687,0.95625209413344,seed_42_per_fold
ablation_prefix__n080__transformer,transformer,80,outer,balanced_accuracy,0.905053013283855,0.900096133685586,0.909887069216408,seed_42_per_fold
ablation_prefix__n080__transformer,transformer,80,inner,macro_f1,0.837422865214172,0.832813949602159,0.841794486057922,seed_42_per_fold
ablation_prefix__n080__transformer,transformer,80,outer,macro_f1,0.787042595326713,0.781622595252057,0.791857981047727,seed_42_per_fold
