logical_group_id,representation,model,train_domain,test_domain,metric,estimate,ci_low,ci_high
primary__flattened_splt__random_forest__train_inner,flattened_splt,random_forest,inner,inner,balanced_accuracy,0.947372753423236,0.942608922875558,0.951471278606616
primary__flattened_splt__random_forest__train_inner,flattened_splt,random_forest,inner,inner,macro_f1,0.937563928219637,0.933825240455019,0.940816750565688
primary__flattened_splt__random_forest__train_inner,flattened_splt,random_forest,inner,outer,balanced_accuracy,0.548640566667396,0.542259002583715,0.554647140557691
primary__flattened_splt__random_forest__train_inner,flattened_splt,random_forest,inner,outer,macro_f1,0.579836717675086,0.572955450347263,0.58606637663109
primary__flattened_splt__random_forest__train_outer,flattened_splt,random_forest,outer,inner,balanced_accuracy,0.760617674367335,0.755758079284111,0.765134295314888
primary__flattened_splt__random_forest__train_outer,flattened_splt,random_forest,outer,inner,macro_f1,0.745009960013874,0.739921937366181,0.749870504339908
primary__flattened_splt__random_forest__train_outer,flattened_splt,random_forest,outer,outer,balanced_accuracy,0.942586665945011,0.938082565057464,0.946966016488024
primary__flattened_splt__random_forest__train_outer,flattened_splt,random_forest,outer,outer,macro_f1,0.930151296485002,0.926654413787682,0.933639481146624
primary__flattened_splt__xgboost__train_inner,flattened_splt,xgboost,inner,inner,balanced_accuracy,0.965615879026373,0.962221818458691,0.968720323072844
primary__flattened_splt__xgboost__train_inner,flattened_splt,xgboost,inner,inner,macro_f1,0.962417708055608,0.959807583240979,0.96497557008668
primary__flattened_splt__xgboost__train_inner,flattened_splt,xgboost,inner,outer,balanced_accuracy,0.611205199548628,0.604205074337641,0.61756597746615
primary__flattened_splt__xgboost__train_inner,flattened_splt,xgboost,inner,outer,macro_f1,0.650659858277756,0.644317099756458,0.657004374881778
primary__flattened_splt__xgboost__train_outer,flattened_splt,xgboost,outer,inner,balanced_accuracy,0.691521053068194,0.685818733896967,0.696976992798533
primary__flattened_splt__xgboost__train_outer,flattened_splt,xgboost,outer,inner,macro_f1,0.678066419276305,0.672428499218969,0.68374513952114
primary__flattened_splt__xgboost__train_outer,flattened_splt,xgboost,outer,outer,balanced_accuracy,0.959870941847978,0.956168409687877,0.963221505672666
primary__flattened_splt__xgboost__train_outer,flattened_splt,xgboost,outer,outer,macro_f1,0.952969570329566,0.950140250904716,0.955502279887292
primary__matched_flow_stats__random_forest__train_inner,matched_flow_stats,random_forest,inner,inner,balanced_accuracy,0.923559200136653,0.918885691624296,0.928002051223198
primary__matched_flow_stats__random_forest__train_inner,matched_flow_stats,random_forest,inner,inner,macro_f1,0.912008700768123,0.908167634424838,0.915443376754724
primary__matched_flow_stats__random_forest__train_inner,matched_flow_stats,random_forest,inner,outer,balanced_accuracy,0.778190435892195,0.771991974866244,0.784373885186546
primary__matched_flow_stats__random_forest__train_inner,matched_flow_stats,random_forest,inner,outer,macro_f1,0.77532870741754,0.770042444608519,0.780249494087957
primary__matched_flow_stats__random_forest__train_outer,matched_flow_stats,random_forest,outer,inner,balanced_accuracy,0.870824318952463,0.865079159263051,0.876639564232226
primary__matched_flow_stats__random_forest__train_outer,matched_flow_stats,random_forest,outer,inner,macro_f1,0.84967743853438,0.844497177386561,0.854580883542609
primary__matched_flow_stats__random_forest__train_outer,matched_flow_stats,random_forest,outer,outer,balanced_accuracy,0.919416373325987,0.9142412955301,0.924269023381942
primary__matched_flow_stats__random_forest__train_outer,matched_flow_stats,random_forest,outer,outer,macro_f1,0.902824754886099,0.899042890002136,0.90665853732661
primary__matched_flow_stats__xgboost__train_inner,matched_flow_stats,xgboost,inner,inner,balanced_accuracy,0.936652512678936,0.932345912832758,0.940740008936582
primary__matched_flow_stats__xgboost__train_inner,matched_flow_stats,xgboost,inner,inner,macro_f1,0.913916404883808,0.910541809733522,0.917197146358773
primary__matched_flow_stats__xgboost__train_inner,matched_flow_stats,xgboost,inner,outer,balanced_accuracy,0.802915323803521,0.797178543226976,0.808372081013256
primary__matched_flow_stats__xgboost__train_inner,matched_flow_stats,xgboost,inner,outer,macro_f1,0.791836985604457,0.787316608555365,0.796306380913707
primary__matched_flow_stats__xgboost__train_outer,matched_flow_stats,xgboost,outer,inner,balanced_accuracy,0.832921871193136,0.827088279829977,0.838297296548182
primary__matched_flow_stats__xgboost__train_outer,matched_flow_stats,xgboost,outer,inner,macro_f1,0.79902928986497,0.793594860706084,0.804299287350168
primary__matched_flow_stats__xgboost__train_outer,matched_flow_stats,xgboost,outer,outer,balanced_accuracy,0.932156352817336,0.927852897606356,0.936755127705859
primary__matched_flow_stats__xgboost__train_outer,matched_flow_stats,xgboost,outer,outer,macro_f1,0.904983338662565,0.901255219139617,0.908584068460968
primary__prefix_stats__random_forest__train_inner,prefix_stats,random_forest,inner,inner,balanced_accuracy,0.92247988439893,0.917729430774766,0.926897068527622
primary__prefix_stats__random_forest__train_inner,prefix_stats,random_forest,inner,inner,macro_f1,0.910324840036297,0.906598656760191,0.914020581193673
primary__prefix_stats__random_forest__train_inner,prefix_stats,random_forest,inner,outer,balanced_accuracy,0.778106167552795,0.771913671291471,0.78408454235628
primary__prefix_stats__random_forest__train_inner,prefix_stats,random_forest,inner,outer,macro_f1,0.776779550659428,0.771567193398434,0.781823190335914
primary__prefix_stats__random_forest__train_outer,prefix_stats,random_forest,outer,inner,balanced_accuracy,0.868355519449324,0.862096853881586,0.874390465498441
primary__prefix_stats__random_forest__train_outer,prefix_stats,random_forest,outer,inner,macro_f1,0.848685114533823,0.843268200069649,0.853590769533078
primary__prefix_stats__random_forest__train_outer,prefix_stats,random_forest,outer,outer,balanced_accuracy,0.918431976357412,0.913620556269034,0.923162270249338
primary__prefix_stats__random_forest__train_outer,prefix_stats,random_forest,outer,outer,macro_f1,0.901550949310774,0.897492402405261,0.905193498234317
primary__prefix_stats__xgboost__train_inner,prefix_stats,xgboost,inner,inner,balanced_accuracy,0.934605932929758,0.93014248564288,0.938594669324065
primary__prefix_stats__xgboost__train_inner,prefix_stats,xgboost,inner,inner,macro_f1,0.910548276993115,0.907190175236458,0.91414040649012
primary__prefix_stats__xgboost__train_inner,prefix_stats,xgboost,inner,outer,balanced_accuracy,0.795862809485527,0.790253638565678,0.801551393773201
primary__prefix_stats__xgboost__train_inner,prefix_stats,xgboost,inner,outer,macro_f1,0.786994602065451,0.782306701446452,0.791659864882325
primary__prefix_stats__xgboost__train_outer,prefix_stats,xgboost,outer,inner,balanced_accuracy,0.826318663014506,0.820468197952695,0.831940431809738
primary__prefix_stats__xgboost__train_outer,prefix_stats,xgboost,outer,inner,macro_f1,0.791142835209515,0.785597311891816,0.796145261033068
primary__prefix_stats__xgboost__train_outer,prefix_stats,xgboost,outer,outer,balanced_accuracy,0.93175027677683,0.927773154098559,0.935869826395381
primary__prefix_stats__xgboost__train_outer,prefix_stats,xgboost,outer,outer,macro_f1,0.903105079578785,0.89954950148427,0.906818119008413
primary__sequential_splt__cnn1d__train_inner,sequential_splt,cnn1d,inner,inner,balanced_accuracy,0.961947416189538,0.958564280560908,0.965499492873403
primary__sequential_splt__cnn1d__train_inner,sequential_splt,cnn1d,inner,inner,macro_f1,0.903936051125507,0.899927457906315,0.907902518793799
primary__sequential_splt__cnn1d__train_inner,sequential_splt,cnn1d,inner,outer,balanced_accuracy,0.957684118527932,0.954079052337098,0.961524383505229
primary__sequential_splt__cnn1d__train_inner,sequential_splt,cnn1d,inner,outer,macro_f1,0.893084112301539,0.888582746988561,0.896995064184659
primary__sequential_splt__cnn1d__train_outer,sequential_splt,cnn1d,outer,inner,balanced_accuracy,0.960689682881715,0.956988766160233,0.963942317145188
primary__sequential_splt__cnn1d__train_outer,sequential_splt,cnn1d,outer,inner,macro_f1,0.903793979161775,0.899997647890662,0.90769092356014
primary__sequential_splt__cnn1d__train_outer,sequential_splt,cnn1d,outer,outer,balanced_accuracy,0.963795509135063,0.960321964659658,0.966949139211367
primary__sequential_splt__cnn1d__train_outer,sequential_splt,cnn1d,outer,outer,macro_f1,0.908224958497294,0.904520532622864,0.911844736415716
primary__sequential_splt__lstm__train_inner,sequential_splt,lstm,inner,inner,balanced_accuracy,0.965993290214613,0.962520805116437,0.969477428007898
primary__sequential_splt__lstm__train_inner,sequential_splt,lstm,inner,inner,macro_f1,0.910890128861341,0.906950668773042,0.914893076766408
primary__sequential_splt__lstm__train_inner,sequential_splt,lstm,inner,outer,balanced_accuracy,0.916987481185504,0.912585683423927,0.921192817432311
primary__sequential_splt__lstm__train_inner,sequential_splt,lstm,inner,outer,macro_f1,0.834771591115339,0.829507863143172,0.839957302342477
primary__sequential_splt__lstm__train_outer,sequential_splt,lstm,outer,inner,balanced_accuracy,0.963119018529772,0.959338477643016,0.966645431836865
primary__sequential_splt__lstm__train_outer,sequential_splt,lstm,outer,inner,macro_f1,0.902818293151668,0.899001153283028,0.906585613181875
primary__sequential_splt__lstm__train_outer,sequential_splt,lstm,outer,outer,balanced_accuracy,0.965330980173472,0.961873837274138,0.968677935958692
primary__sequential_splt__lstm__train_outer,sequential_splt,lstm,outer,outer,macro_f1,0.907686793784116,0.903883529925341,0.911479497669212
primary__sequential_splt__transformer__train_inner,sequential_splt,transformer,inner,inner,balanced_accuracy,0.961633215156462,0.958321166837421,0.964938650457207
