logical_group_id,representation,model,transfer_direction,metric,source_estimate,target_estimate,delta_estimate,delta_ci_low,delta_ci_high
primary__flattened_splt__random_forest__train_inner,flattened_splt,random_forest,inner_to_outer,balanced_accuracy,0.947372753423236,0.548640566667396,-0.39873218675584,-0.405280257714676,-0.392808970610963
primary__flattened_splt__random_forest__train_inner,flattened_splt,random_forest,inner_to_outer,macro_f1,0.937563928219637,0.579836717675086,-0.357727210544551,-0.364578066086113,-0.35143746179917
primary__flattened_splt__random_forest__train_outer,flattened_splt,random_forest,outer_to_inner,balanced_accuracy,0.942586665945011,0.760617674367335,-0.181968991577676,-0.186808494998141,-0.177340749828865
primary__flattened_splt__random_forest__train_outer,flattened_splt,random_forest,outer_to_inner,macro_f1,0.930151296485002,0.745009960013874,-0.185141336471128,-0.18985171231364,-0.180443327693944
primary__flattened_splt__xgboost__train_inner,flattened_splt,xgboost,inner_to_outer,balanced_accuracy,0.965615879026373,0.611205199548628,-0.354410679477745,-0.360915158736194,-0.347465716761727
primary__flattened_splt__xgboost__train_inner,flattened_splt,xgboost,inner_to_outer,macro_f1,0.962417708055608,0.650659858277756,-0.311757849777852,-0.31820300315339,-0.304890901249601
primary__flattened_splt__xgboost__train_outer,flattened_splt,xgboost,outer_to_inner,balanced_accuracy,0.959870941847978,0.691521053068194,-0.268349888779784,-0.274171895245548,-0.262576704439516
primary__flattened_splt__xgboost__train_outer,flattened_splt,xgboost,outer_to_inner,macro_f1,0.952969570329566,0.678066419276305,-0.274903151053261,-0.281088571654121,-0.269127497944326
primary__matched_flow_stats__random_forest__train_inner,matched_flow_stats,random_forest,inner_to_outer,balanced_accuracy,0.923559200136653,0.778190435892195,-0.145368764244457,-0.150274556055181,-0.14060388366185
primary__matched_flow_stats__random_forest__train_inner,matched_flow_stats,random_forest,inner_to_outer,macro_f1,0.912008700768123,0.77532870741754,-0.136679993350584,-0.141136055437373,-0.132594003306452
primary__matched_flow_stats__random_forest__train_outer,matched_flow_stats,random_forest,outer_to_inner,balanced_accuracy,0.919416373325987,0.870824318952463,-0.0485920543735237,-0.0531171480123725,-0.0440567520620403
primary__matched_flow_stats__random_forest__train_outer,matched_flow_stats,random_forest,outer_to_inner,macro_f1,0.902824754886099,0.84967743853438,-0.0531473163517189,-0.0574985566241187,-0.0492508631309356
primary__matched_flow_stats__xgboost__train_inner,matched_flow_stats,xgboost,inner_to_outer,balanced_accuracy,0.936652512678936,0.802915323803521,-0.133737188875414,-0.138131690530956,-0.129452821224476
primary__matched_flow_stats__xgboost__train_inner,matched_flow_stats,xgboost,inner_to_outer,macro_f1,0.913916404883808,0.791836985604457,-0.12207941927935,-0.125850113174423,-0.118590662867351
primary__matched_flow_stats__xgboost__train_outer,matched_flow_stats,xgboost,outer_to_inner,balanced_accuracy,0.932156352817336,0.832921871193136,-0.0992344816241992,-0.103606914792048,-0.0945417077977201
primary__matched_flow_stats__xgboost__train_outer,matched_flow_stats,xgboost,outer_to_inner,macro_f1,0.904983338662565,0.79902928986497,-0.105954048797595,-0.110587911647957,-0.101379121986609
primary__prefix_stats__random_forest__train_inner,prefix_stats,random_forest,inner_to_outer,balanced_accuracy,0.92247988439893,0.778106167552795,-0.144373716846135,-0.149397258836863,-0.13922262421357
primary__prefix_stats__random_forest__train_inner,prefix_stats,random_forest,inner_to_outer,macro_f1,0.910324840036297,0.776779550659428,-0.133545289376869,-0.138003465886368,-0.129264917295576
primary__prefix_stats__random_forest__train_outer,prefix_stats,random_forest,outer_to_inner,balanced_accuracy,0.918431976357412,0.868355519449324,-0.0500764569080878,-0.0547506452778971,-0.0453124814739769
primary__prefix_stats__random_forest__train_outer,prefix_stats,random_forest,outer_to_inner,macro_f1,0.901550949310774,0.848685114533823,-0.052865834776951,-0.0569947779798434,-0.0487995194761503
primary__prefix_stats__xgboost__train_inner,prefix_stats,xgboost,inner_to_outer,balanced_accuracy,0.934605932929758,0.795862809485527,-0.138743123444231,-0.143406390029617,-0.134194667484614
primary__prefix_stats__xgboost__train_inner,prefix_stats,xgboost,inner_to_outer,macro_f1,0.910548276993115,0.786994602065451,-0.123553674927664,-0.127562338400101,-0.119711424414003
primary__prefix_stats__xgboost__train_outer,prefix_stats,xgboost,outer_to_inner,balanced_accuracy,0.93175027677683,0.826318663014506,-0.105431613762324,-0.110319301541485,-0.100262924041319
primary__prefix_stats__xgboost__train_outer,prefix_stats,xgboost,outer_to_inner,macro_f1,0.903105079578785,0.791142835209515,-0.11196224436927,-0.116795250233898,-0.107352154101096
primary__sequential_splt__cnn1d__train_inner,sequential_splt,cnn1d,inner_to_outer,balanced_accuracy,0.961947416189538,0.957684118527932,-0.0042632976616054,-0.0058528502713548,-0.0028125122682345
primary__sequential_splt__cnn1d__train_inner,sequential_splt,cnn1d,inner_to_outer,macro_f1,0.903936051125507,0.893084112301539,-0.0108519388239671,-0.0132840734603066,-0.0084072724016332
primary__sequential_splt__cnn1d__train_outer,sequential_splt,cnn1d,outer_to_inner,balanced_accuracy,0.963795509135063,0.960689682881715,-0.0031058262533477,-0.004863802449269,-0.0014270969100149
primary__sequential_splt__cnn1d__train_outer,sequential_splt,cnn1d,outer_to_inner,macro_f1,0.908224958497294,0.903793979161775,-0.0044309793355187,-0.0062029335427069,-0.0026589808190177
primary__sequential_splt__lstm__train_inner,sequential_splt,lstm,inner_to_outer,balanced_accuracy,0.965993290214613,0.916987481185504,-0.0490058090291096,-0.052876757822168,-0.0455456941834673
