protocol,split,endpoint_key,source_pairs,target_pairs,source_unique_endpoints,target_unique_endpoints,target_seen_pairs,target_seen_fraction
cross_session,s1_to_s2,remote_ip,110604,103388,4823,4477,87249,0.843898711649
cross_session,s1_to_s2,remote_ip_port,110604,103388,5491,5036,86656,0.838163036329
cross_session,s2_to_s1,remote_ip,93049,122893,4340,4984,101245,0.823846761003
cross_session,s2_to_s1,remote_ip_port,93049,122893,4849,5721,100059,0.814196089281
primary,fold_1,remote_ip,162921,45257,6211,3911,44690,0.987471551362
primary,fold_1,remote_ip_port,162921,45257,7188,4230,44453,0.982234792408
primary,fold_2,remote_ip,162922,45256,6234,3855,44710,0.987935301396
primary,fold_2,remote_ip_port,162922,45256,7212,4142,44490,0.983074067527
primary,fold_3,remote_ip,162922,45256,6221,3892,44719,0.988134170055
primary,fold_3,remote_ip_port,162922,45256,7209,4203,44505,0.983405515291
primary,fold_4,remote_ip,162922,45256,6284,3877,44766,0.989172706381
primary,fold_4,remote_ip_port,162922,45256,7266,4176,44524,0.983825349125
primary,fold_5,remote_ip,162922,45256,6261,3880,44768,0.989216899417
primary,fold_5,remote_ip_port,162922,45256,7254,4171,44540,0.984178893406
