comparison_type,comparison_id,a_label,b_label,block_hours,clusters,replicates,metric,a_estimate,b_estimate,delta_estimate,delta_ci_low,delta_ci_high,pair_delta_ci_low,pair_delta_ci_high
method_difference,cnn1d_minus_lstm,primary__sequential_splt__cnn1d__train_inner,primary__sequential_splt__lstm__train_inner,1,82,1000,balanced_accuracy,0.957684118527932,0.916987481185504,0.0406966373424285,0.0277414813831111,0.0511022636722469,0.0362482754664812,0.0450582878516049
method_difference,cnn1d_minus_lstm,primary__sequential_splt__cnn1d__train_inner,primary__sequential_splt__lstm__train_inner,2,42,1000,balanced_accuracy,0.957684118527932,0.916987481185504,0.0406966373424285,0.0288031797652161,0.0502326267328902,0.0362482754664812,0.0450582878516049
method_difference,cnn1d_minus_lstm,primary__sequential_splt__cnn1d__train_inner,primary__sequential_splt__lstm__train_inner,1,82,1000,macro_f1,0.893084112301539,0.834771591115339,0.0583125211862007,0.0413025429958665,0.0738873059843326,0.0531000894625991,0.0633446096982462
method_difference,cnn1d_minus_lstm,primary__sequential_splt__cnn1d__train_inner,primary__sequential_splt__lstm__train_inner,2,42,1000,macro_f1,0.893084112301539,0.834771591115339,0.0583125211862007,0.04075888803762,0.0746707922814838,0.0531000894625991,0.0633446096982462
method_difference,cnn1d_minus_transformer,primary__sequential_splt__cnn1d__train_inner,primary__sequential_splt__transformer__train_inner,1,82,1000,balanced_accuracy,0.957684118527932,0.929785328851206,0.0278987896767259,0.0237862375365551,0.0327089870617258,0.0240505052682088,0.0315018038931306
method_difference,cnn1d_minus_transformer,primary__sequential_splt__cnn1d__train_inner,primary__sequential_splt__transformer__train_inner,2,42,1000,balanced_accuracy,0.957684118527932,0.929785328851206,0.0278987896767259,0.0240957725914078,0.0323582121804221,0.0240505052682088,0.0315018038931306
method_difference,cnn1d_minus_transformer,primary__sequential_splt__cnn1d__train_inner,primary__sequential_splt__transformer__train_inner,1,82,1000,macro_f1,0.893084112301539,0.828568170314463,0.064515941987076,0.0577951251672182,0.0710539802673234,0.0599531542989504,0.0689380586718704
method_difference,cnn1d_minus_transformer,primary__sequential_splt__cnn1d__train_inner,primary__sequential_splt__transformer__train_inner,2,42,1000,macro_f1,0.893084112301539,0.828568170314463,0.064515941987076,0.0579295549196636,0.0723671788433888,0.0599531542989504,0.0689380586718704
method_difference,cnn1d_minus_xgboost_matched,primary__sequential_splt__cnn1d__train_inner,primary__matched_flow_stats__xgboost__train_inner,1,82,1000,balanced_accuracy,0.957684118527932,0.802915323803521,0.154768794724411,0.146480303673276,0.163878254431439,0.149422583582279,0.160615300206504
method_difference,cnn1d_minus_xgboost_matched,primary__sequential_splt__cnn1d__train_inner,primary__matched_flow_stats__xgboost__train_inner,2,42,1000,balanced_accuracy,0.957684118527932,0.802915323803521,0.154768794724411,0.146425920004452,0.165703646295813,0.149422583582279,0.160615300206504
