physical_group_id,seed,test_domain,metric,value
cross_session__sequential_splt__cnn1d,42,inner,accuracy,0.9407108860222467
cross_session__sequential_splt__cnn1d,42,inner,balanced_accuracy,0.8826057757591466
cross_session__sequential_splt__cnn1d,42,inner,macro_f1,0.7984038844835695
cross_session__sequential_splt__cnn1d,42,inner,weighted_f1,0.9460551462643626
cross_session__sequential_splt__cnn1d,42,inner,macro_ovr_average_precision,0.8745278195153852
cross_session__sequential_splt__cnn1d,42,outer,accuracy,0.9364020841343286
cross_session__sequential_splt__cnn1d,42,outer,balanced_accuracy,0.8732498143779994
cross_session__sequential_splt__cnn1d,42,outer,macro_f1,0.7641298648526205
cross_session__sequential_splt__cnn1d,42,outer,weighted_f1,0.9426208425673376
cross_session__sequential_splt__cnn1d,42,outer,macro_ovr_average_precision,0.8612066189111074
cross_session__sequential_splt__cnn1d,43,inner,accuracy,0.9430000751278278
cross_session__sequential_splt__cnn1d,43,inner,balanced_accuracy,0.9044616401067619
cross_session__sequential_splt__cnn1d,43,inner,macro_f1,0.8041099182258541
cross_session__sequential_splt__cnn1d,43,inner,weighted_f1,0.9482744403569744
cross_session__sequential_splt__cnn1d,43,inner,macro_ovr_average_precision,0.8854393859417484
cross_session__sequential_splt__cnn1d,43,outer,accuracy,0.9425581467290669
cross_session__sequential_splt__cnn1d,43,outer,balanced_accuracy,0.8982381832060842
cross_session__sequential_splt__cnn1d,43,outer,macro_f1,0.7880681585324396
cross_session__sequential_splt__cnn1d,43,outer,weighted_f1,0.9474628885781115
cross_session__sequential_splt__cnn1d,43,outer,macro_ovr_average_precision,0.8786509715693501
cross_session__sequential_splt__cnn1d,44,inner,accuracy,0.9489395928071733
cross_session__sequential_splt__cnn1d,44,inner,balanced_accuracy,0.8966434964925304
cross_session__sequential_splt__cnn1d,44,inner,macro_f1,0.8129403850533997
cross_session__sequential_splt__cnn1d,44,inner,weighted_f1,0.9524776496914124
cross_session__sequential_splt__cnn1d,44,inner,macro_ovr_average_precision,0.879599951942909
cross_session__sequential_splt__cnn1d,44,outer,accuracy,0.9467520472333073
cross_session__sequential_splt__cnn1d,44,outer,balanced_accuracy,0.8936567201571763
cross_session__sequential_splt__cnn1d,44,outer,macro_f1,0.7862357707518081
cross_session__sequential_splt__cnn1d,44,outer,weighted_f1,0.9505834385066289
cross_session__sequential_splt__cnn1d,44,outer,macro_ovr_average_precision,0.8737979538660426
cross_session__sequential_splt__lstm,42,inner,accuracy,0.944171185384544
cross_session__sequential_splt__lstm,42,inner,balanced_accuracy,0.8910000348977104
cross_session__sequential_splt__lstm,42,inner,macro_f1,0.8146197579368586
cross_session__sequential_splt__lstm,42,inner,weighted_f1,0.9487614283247817
cross_session__sequential_splt__lstm,42,inner,macro_ovr_average_precision,0.8709825625069436
cross_session__sequential_splt__lstm,42,outer,accuracy,0.9421294761822689
cross_session__sequential_splt__lstm,42,outer,balanced_accuracy,0.8369827425790203
cross_session__sequential_splt__lstm,42,outer,macro_f1,0.75083483441588
cross_session__sequential_splt__lstm,42,outer,weighted_f1,0.9469465262562979
cross_session__sequential_splt__lstm,42,outer,macro_ovr_average_precision,0.8130608501730292
cross_session__sequential_splt__lstm,43,inner,accuracy,0.9331406525514736
cross_session__sequential_splt__lstm,43,inner,balanced_accuracy,0.8891408138362316
cross_session__sequential_splt__lstm,43,inner,macro_f1,0.8056823511646842
cross_session__sequential_splt__lstm,43,inner,weighted_f1,0.9400053632124327
cross_session__sequential_splt__lstm,43,inner,macro_ovr_average_precision,0.8696759516852752
cross_session__sequential_splt__lstm,43,outer,accuracy,0.9245628223315259
cross_session__sequential_splt__lstm,43,outer,balanced_accuracy,0.7986889478829013
cross_session__sequential_splt__lstm,43,outer,macro_f1,0.7151701168665395
cross_session__sequential_splt__lstm,43,outer,weighted_f1,0.9318830622115283
cross_session__sequential_splt__lstm,43,outer,macro_ovr_average_precision,0.7821442135910494
cross_session__sequential_splt__lstm,44,inner,accuracy,0.9371312659922839
cross_session__sequential_splt__lstm,44,inner,balanced_accuracy,0.8924041325331373
cross_session__sequential_splt__lstm,44,inner,macro_f1,0.8067103749419104
cross_session__sequential_splt__lstm,44,inner,weighted_f1,0.9431948723145627
cross_session__sequential_splt__lstm,44,inner,macro_ovr_average_precision,0.8681346779706053
cross_session__sequential_splt__lstm,44,outer,accuracy,0.9304493086030201
cross_session__sequential_splt__lstm,44,outer,balanced_accuracy,0.8107220575069427
cross_session__sequential_splt__lstm,44,outer,macro_f1,0.7125066808529997
cross_session__sequential_splt__lstm,44,outer,weighted_f1,0.9373229705489474
cross_session__sequential_splt__lstm,44,outer,macro_ovr_average_precision,0.7862086978207063
cross_session__sequential_splt__transformer,42,inner,accuracy,0.8707182662265059
cross_session__sequential_splt__transformer,42,inner,balanced_accuracy,0.8394987119466989
cross_session__sequential_splt__transformer,42,inner,macro_f1,0.6482757495743151
cross_session__sequential_splt__transformer,42,inner,weighted_f1,0.8879780665249853
cross_session__sequential_splt__transformer,42,inner,macro_ovr_average_precision,0.7624935404423966
cross_session__sequential_splt__transformer,42,outer,accuracy,0.8836004790503843
cross_session__sequential_splt__transformer,42,outer,balanced_accuracy,0.7795119337970993
cross_session__sequential_splt__transformer,42,outer,macro_f1,0.6240408229498762
cross_session__sequential_splt__transformer,42,outer,weighted_f1,0.89709851470051
cross_session__sequential_splt__transformer,42,outer,macro_ovr_average_precision,0.7069789313541432
cross_session__sequential_splt__transformer,43,inner,accuracy,0.8582028539735992
cross_session__sequential_splt__transformer,43,inner,balanced_accuracy,0.829192113482116
cross_session__sequential_splt__transformer,43,inner,macro_f1,0.6320153897117411
cross_session__sequential_splt__transformer,43,inner,weighted_f1,0.8813365197744442
cross_session__sequential_splt__transformer,43,inner,macro_ovr_average_precision,0.7709497538791351
cross_session__sequential_splt__transformer,43,outer,accuracy,0.8870828748326196
cross_session__sequential_splt__transformer,43,outer,balanced_accuracy,0.8040664299570592
cross_session__sequential_splt__transformer,43,outer,macro_f1,0.641174889797548
cross_session__sequential_splt__transformer,43,outer,weighted_f1,0.9013941913582523
cross_session__sequential_splt__transformer,43,outer,macro_ovr_average_precision,0.7278805445400239
cross_session__sequential_splt__transformer,44,inner,accuracy,0.9224106310295606
cross_session__sequential_splt__transformer,44,inner,balanced_accuracy,0.8868077638599086
cross_session__sequential_splt__transformer,44,inner,macro_f1,0.7746104530120307
cross_session__sequential_splt__transformer,44,inner,weighted_f1,0.9311303878856867
cross_session__sequential_splt__transformer,44,inner,macro_ovr_average_precision,0.863349006306866
cross_session__sequential_splt__transformer,44,outer,accuracy,0.9257692868601429
cross_session__sequential_splt__transformer,44,outer,balanced_accuracy,0.8220421496650271
cross_session__sequential_splt__transformer,44,outer,macro_f1,0.7341370690561773
cross_session__sequential_splt__transformer,44,outer,weighted_f1,0.9317835307526764
cross_session__sequential_splt__transformer,44,outer,macro_ovr_average_precision,0.8015543505649134
dann__sequential_splt__dann_cnn1d,42,inner,accuracy,0.9672884599237231
dann__sequential_splt__dann_cnn1d,42,inner,balanced_accuracy,0.961908944541346
dann__sequential_splt__dann_cnn1d,42,inner,macro_f1,0.9092865649980509
dann__sequential_splt__dann_cnn1d,42,inner,weighted_f1,0.9696145198209375
dann__sequential_splt__dann_cnn1d,42,inner,macro_ovr_average_precision,0.9720004488603599
dann__sequential_splt__dann_cnn1d,42,outer,accuracy,0.9660598989751681
