logical_group_id,true_label,predicted_label,support,count,row_fraction
primary__sequential_splt__cnn1d__train_inner,Chat,Chat,3985,3800,0.95357590966123
primary__sequential_splt__cnn1d__train_inner,Chat,Cloud,3985,2,0.000501882057716437
primary__sequential_splt__cnn1d__train_inner,Chat,Collaborative,3985,9,0.00225846925972396
primary__sequential_splt__cnn1d__train_inner,Chat,ConnCheck,3985,0,0
primary__sequential_splt__cnn1d__train_inner,Chat,Database,3985,1,0.000250941028858218
primary__sequential_splt__cnn1d__train_inner,Chat,Download,3985,29,0.00727728983688833
primary__sequential_splt__cnn1d__train_inner,Chat,Email,3985,2,0.000501882057716437
primary__sequential_splt__cnn1d__train_inner,Chat,Network,3985,0,0
primary__sequential_splt__cnn1d__train_inner,Chat,SocialNetwork,3985,4,0.00100376411543287
primary__sequential_splt__cnn1d__train_inner,Chat,SoftwareUpdate,3985,0,0
primary__sequential_splt__cnn1d__train_inner,Chat,System,3985,1,0.000250941028858218
primary__sequential_splt__cnn1d__train_inner,Chat,Unspecified,3985,4,0.00100376411543287
primary__sequential_splt__cnn1d__train_inner,Chat,VoIP,3985,12,0.00301129234629862
primary__sequential_splt__cnn1d__train_inner,Chat,Web,3985,121,0.0303638644918444
primary__sequential_splt__cnn1d__train_inner,Cloud,Chat,5778,3,0.000519210799584631
primary__sequential_splt__cnn1d__train_inner,Cloud,Cloud,5778,5687,0.984250605745933
primary__sequential_splt__cnn1d__train_inner,Cloud,Collaborative,5778,42,0.00726895119418484
primary__sequential_splt__cnn1d__train_inner,Cloud,ConnCheck,5778,3,0.000519210799584631
primary__sequential_splt__cnn1d__train_inner,Cloud,Database,5778,0,0
primary__sequential_splt__cnn1d__train_inner,Cloud,Download,5778,9,0.00155763239875389
primary__sequential_splt__cnn1d__train_inner,Cloud,Email,5778,0,0
primary__sequential_splt__cnn1d__train_inner,Cloud,Network,5778,0,0
primary__sequential_splt__cnn1d__train_inner,Cloud,SocialNetwork,5778,5,0.000865351332641052
primary__sequential_splt__cnn1d__train_inner,Cloud,SoftwareUpdate,5778,2,0.000346140533056421
primary__sequential_splt__cnn1d__train_inner,Cloud,System,5778,0,0
primary__sequential_splt__cnn1d__train_inner,Cloud,Unspecified,5778,0,0
primary__sequential_splt__cnn1d__train_inner,Cloud,VoIP,5778,3,0.000519210799584631
primary__sequential_splt__cnn1d__train_inner,Cloud,Web,5778,24,0.00415368639667705
primary__sequential_splt__cnn1d__train_inner,Collaborative,Chat,6632,6,0.000904704463208685
primary__sequential_splt__cnn1d__train_inner,Collaborative,Cloud,6632,34,0.00512665862484922
primary__sequential_splt__cnn1d__train_inner,Collaborative,Collaborative,6632,6008,0.905910735826297
primary__sequential_splt__cnn1d__train_inner,Collaborative,ConnCheck,6632,0,0
primary__sequential_splt__cnn1d__train_inner,Collaborative,Database,6632,0,0
primary__sequential_splt__cnn1d__train_inner,Collaborative,Download,6632,5,0.000753920386007238
primary__sequential_splt__cnn1d__train_inner,Collaborative,Email,6632,2,0.000301568154402895
primary__sequential_splt__cnn1d__train_inner,Collaborative,Network,6632,0,0
primary__sequential_splt__cnn1d__train_inner,Collaborative,SocialNetwork,6632,3,0.000452352231604343
primary__sequential_splt__cnn1d__train_inner,Collaborative,SoftwareUpdate,6632,8,0.00120627261761158
primary__sequential_splt__cnn1d__train_inner,Collaborative,System,6632,1,0.000150784077201448
primary__sequential_splt__cnn1d__train_inner,Collaborative,Unspecified,6632,1,0.000150784077201448
primary__sequential_splt__cnn1d__train_inner,Collaborative,VoIP,6632,10,0.00150784077201448
primary__sequential_splt__cnn1d__train_inner,Collaborative,Web,6632,554,0.0835343787696019
primary__sequential_splt__cnn1d__train_inner,ConnCheck,Chat,281,2,0.00711743772241993
primary__sequential_splt__cnn1d__train_inner,ConnCheck,Cloud,281,0,0
primary__sequential_splt__cnn1d__train_inner,ConnCheck,Collaborative,281,0,0
primary__sequential_splt__cnn1d__train_inner,ConnCheck,ConnCheck,281,271,0.9644128113879
primary__sequential_splt__cnn1d__train_inner,ConnCheck,Database,281,0,0
primary__sequential_splt__cnn1d__train_inner,ConnCheck,Download,281,0,0
primary__sequential_splt__cnn1d__train_inner,ConnCheck,Email,281,0,0
primary__sequential_splt__cnn1d__train_inner,ConnCheck,Network,281,1,0.00355871886120996
primary__sequential_splt__cnn1d__train_inner,ConnCheck,SocialNetwork,281,0,0
primary__sequential_splt__cnn1d__train_inner,ConnCheck,SoftwareUpdate,281,1,0.00355871886120996
primary__sequential_splt__cnn1d__train_inner,ConnCheck,System,281,0,0
primary__sequential_splt__cnn1d__train_inner,ConnCheck,Unspecified,281,0,0
